,MonthlyIncomeRange,YearsWithCurrManager,YearsSinceLastPromotion,YearsInCurrentRole,YearsAtCompany,WorkLifeBalance,TrainingTimesLastYear,TotalWorkingYears,StockOptionLevel,RelationshipSatisfaction,PerformanceRating,PercentSalaryHike,OverTime,NumCompaniesWorked,MaritalStatus,JobSatisfaction,JobRole,JobLevel,JobInvolvement,Gender,EnvironmentSatisfaction,EducationField,Education,DistanceFromHome,Department,BusinessTravel,Age,Attrition,DailyRate,EmployeeCount,EmployeeNumber,HourlyRate,MonthlyIncome,MonthlyRate,Over18,StandardHours,Attrition2,AgeAttritionRate,BusinessTravelAttritionRate,DepartmentAttritionRate,DistanceFromHomeAttritionRate,EducationAttritionRate,EducationFieldAttritionRate,EnvironmentSatisfactionAttritionRate,GenderAttritionRate,JobInvolvementAttritionRate,JobLevelAttritionRate,JobRoleAttritionRate,JobSatisfactionAttritionRate,MaritalStatusAttritionRate,NumCompaniesWorkedAttritionRate,OverTimeAttritionRate,PercentSalaryHikeAttritionRate,PerformanceRatingAttritionRate,RelationshipSatisfactionAttritionRate,StockOptionLevelAttritionRate,TotalWorkingYearsAttritionRate,TrainingTimesLastYearAttritionRate,WorkLifeBalanceAttritionRate,YearsAtCompanyAttritionRate,YearsInCurrentRoleAttritionRate,YearsSinceLastPromotionAttritionRate,YearsWithCurrManagerAttritionRate,MonthlyIncomeRangeAttritionRate,TotalAttritionScore
13,0 to 1500,0,1,0,1,2,6,1,0,1,3,13,No,1,Single,1,Laboratory Technician,1,2,Female,3,Life Sciences,3,10,Research & Development,Travel_Rarely,21,Yes,1334,1,1079,36,1416,17258,Y,80,1,0.461538462,0.149568552,0.138397503,0.127906977,0.173076923,0.146864686,0.136865342,0.147959184,0.189333333,0.26335175,0.239382239,0.228373702,0.255319149,0.188099808,0.104364326,0.162679426,0.160771704,0.206521739,0.244057052,0.49382716,0.092307692,0.168604651,0.34502924,0.299180328,0.137254902,0.323193916,0.526315789,6.1
14,0 to 1500,0,0,0,0,3,2,0,0,4,3,15,No,1,Single,4,Research Scientist,1,3,Male,2,Life Sciences,2,5,Research & Development,Non-Travel,18,No,287,1,1012,73,1051,13493,Y,80,0,0.5,0.08,0.138397503,0.153846154,0.156028369,0.146864686,0.149825784,0.170068027,0.144009217,0.26335175,0.160958904,0.11328976,0.255319149,0.188099808,0.104364326,0.178217822,0.160771704,0.148148148,0.244057052,0.454545455,0.179159049,0.142217245,0.363636364,0.299180328,0.189328744,0.323193916,0.526315789,5.9
15,0 to 1500,0,0,0,1,4,3,1,0,3,3,12,No,1,Single,2,Research Scientist,1,2,Female,1,Life Sciences,3,8,Research & Development,Travel_Rarely,31,Yes,202,1,1433,34,1261,22262,Y,80,1,0.260869565,0.149568552,0.138397503,0.125,0.173076923,0.146864686,0.253521127,0.147959184,0.189333333,0.26335175,0.160958904,0.164285714,0.255319149,0.188099808,0.104364326,0.166666667,0.160771704,0.154684096,0.244057052,0.49382716,0.140529532,0.176470588,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,5.9
16,0 to 1500,0,1,0,1,2,3,1,0,3,4,22,No,1,Single,4,Laboratory Technician,1,2,Male,2,Life Sciences,3,2,Research & Development,Travel_Rarely,19,Yes,303,1,243,47,1102,9241,Y,80,1,0.666666667,0.149568552,0.138397503,0.132701422,0.173076923,0.146864686,0.149825784,0.170068027,0.189333333,0.26335175,0.239382239,0.11328976,0.255319149,0.188099808,0.104364326,0.214285714,0.163716814,0.154684096,0.244057052,0.49382716,0.140529532,0.168604651,0.34502924,0.299180328,0.137254902,0.323193916,0.526315789,6.3
17,0 to 1500,0,0,0,0,3,6,0,0,4,3,14,No,1,Single,4,Research Scientist,1,3,Male,3,Life Sciences,2,15,Research & Development,Travel_Rarely,21,No,391,1,30,96,1232,19281,Y,80,0,0.461538462,0.149568552,0.138397503,0.192307692,0.156028369,0.146864686,0.136865342,0.170068027,0.144009217,0.26335175,0.160958904,0.11328976,0.255319149,0.188099808,0.104364326,0.119402985,0.160771704,0.148148148,0.244057052,0.454545455,0.092307692,0.142217245,0.363636364,0.299180328,0.189328744,0.323193916,0.526315789,5.8
18,0 to 1500,0,0,0,1,3,4,1,3,3,3,11,Yes,1,Divorced,4,Laboratory Technician,1,1,Female,4,Medical,1,2,Research & Development,Travel_Rarely,31,No,1276,1,1974,59,1129,17536,Y,80,0,0.260869565,0.149568552,0.138397503,0.132701422,0.182352941,0.135775862,0.134529148,0.147959184,0.337349398,0.26335175,0.239382239,0.11328976,0.100917431,0.188099808,0.305288462,0.195238095,0.160771704,0.154684096,0.176470588,0.49382716,0.211382114,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.526315789,6
19,0 to 1500,0,1,0,1,3,4,1,0,4,3,14,Yes,1,Single,4,Sales Representative,1,1,Male,3,Life Sciences,1,24,Sales,Travel_Frequently,25,Yes,599,1,1273,73,1118,8040,Y,80,1,0.230769231,0.249097473,0.206278027,0.428571429,0.182352941,0.146864686,0.136865342,0.170068027,0.337349398,0.26335175,0.397590361,0.11328976,0.255319149,0.188099808,0.305288462,0.119402985,0.160771704,0.148148148,0.244057052,0.49382716,0.211382114,0.142217245,0.34502924,0.299180328,0.137254902,0.323193916,0.526315789,6.8
20,10001 to 10500,9,1,7,33,3,4,34,1,2,3,16,No,0,Married,4,Manufacturing Director,3,2,Female,3,Technical Degree,5,2,Research & Development,Travel_Rarely,53,Yes,607,1,1572,78,10169,14618,Y,80,1,0.105263158,0.149568552,0.138397503,0.132701422,0.104166667,0.242424242,0.136865342,0.147959184,0.189333333,0.146788991,0.068965517,0.11328976,0.124814264,0.116751269,0.104364326,0.179487179,0.160771704,0.148514851,0.093959732,0.2,0.211382114,0.142217245,0.2,0.13963964,0.137254902,0.09375,0.303030303,4
21,10001 to 10500,0,1,0,1,3,4,24,1,4,3,14,No,3,Married,4,Sales Executive,3,3,Male,1,Life Sciences,2,1,Sales,Travel_Rarely,55,No,111,1,106,70,10239,18092,Y,80,0,0.136363636,0.149568552,0.206278027,0.125,0.156028369,0.146864686,0.253521127,0.170068027,0.144009217,0.146788991,0.174846626,0.11328976,0.124814264,0.100628931,0.104364326,0.119402985,0.160771704,0.148148148,0.093959732,0.166666667,0.211382114,0.142217245,0.34502924,0.299180328,0.137254902,0.323193916,0.303030303,4.7
22,10001 to 10500,0,0,0,1,3,5,17,2,2,3,11,No,6,Divorced,3,Manufacturing Director,3,3,Male,1,Medical,3,10,Research & Development,Travel_Frequently,37,Yes,504,1,342,61,10048,22573,Y,80,1,0.12,0.249097473,0.138397503,0.127906977,0.173076923,0.135775862,0.253521127,0.170068027,0.144009217,0.146788991,0.068965517,0.165158371,0.100917431,0.228571429,0.104364326,0.195238095,0.160771704,0.148514851,0.075949367,0.090909091,0.117647059,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.303030303,4.7
23,10001 to 10500,6,3,6,20,3,1,24,1,4,3,14,No,9,Married,1,Human Resources,3,2,Male,2,Medical,2,1,Human Resources,Travel_Rarely,44,Yes,1376,1,1098,91,10482,2326,Y,80,1,0.181818182,0.149568552,0.19047619,0.125,0.156028369,0.135775862,0.149825784,0.170068027,0.189333333,0.146788991,0.230769231,0.228373702,0.124814264,0.230769231,0.104364326,0.119402985,0.160771704,0.148148148,0.093959732,0.166666667,0.126760563,0.142217245,0.037037037,0.054054054,0.173076923,0.137931034,0.303030303,4.2
24,10001 to 10500,2,2,2,2,2,2,15,0,2,3,13,Yes,6,Single,1,Sales Executive,3,3,Male,1,Life Sciences,4,24,Sales,Travel_Rarely,53,Yes,1168,1,1968,66,10448,5843,Y,80,1,0.105263158,0.149568552,0.206278027,0.428571429,0.145728643,0.146864686,0.253521127,0.170068027,0.144009217,0.146788991,0.174846626,0.228373702,0.255319149,0.228571429,0.305288462,0.162679426,0.160771704,0.148514851,0.244057052,0.125,0.179159049,0.168604651,0.212598425,0.182795699,0.169811321,0.145348837,0.303030303,5.3
25,10001 to 10500,17,15,7,21,4,3,23,0,4,3,14,No,3,Single,4,Sales Executive,3,2,Female,4,Marketing,4,4,Sales,Travel_Rarely,43,No,531,1,1293,56,10231,20364,Y,80,0,0.0625,0.149568552,0.206278027,0.140625,0.145728643,0.220125786,0.134529148,0.147959184,0.189333333,0.146788991,0.174846626,0.11328976,0.255319149,0.100628931,0.104364326,0.119402985,0.160771704,0.148148148,0.244057052,0.090909091,0.140529532,0.176470588,0.071428571,0.13963964,0.230769231,0,0.303030303,4.1
26,10001 to 10500,11,13,13,18,4,5,22,0,4,3,19,No,4,Married,1,Sales Executive,3,2,Female,3,Marketing,3,28,Sales,Travel_Frequently,60,No,1499,1,573,80,10266,2845,Y,80,0,0,0.249097473,0.206278027,0.086956522,0.173076923,0.220125786,0.136865342,0.147959184,0.189333333,0.146788991,0.174846626,0.228373702,0.124814264,0.122302158,0.104364326,0.118421053,0.160771704,0.148148148,0.244057052,0.095238095,0.117647059,0.176470588,0.076923077,0.071428571,0.2,0.045454545,0.303030303,4.1
27,10001 to 10500,3,1,3,4,3,2,20,0,4,3,15,No,6,Single,4,Healthcare Representative,3,2,Male,4,Technical Degree,3,10,Research & Development,Travel_Rarely,50,No,1046,1,491,100,10496,2755,Y,80,0,0.166666667,0.149568552,0.138397503,0.127906977,0.173076923,0.242424242,0.134529148,0.170068027,0.189333333,0.146788991,0.06870229,0.11328976,0.255319149,0.228571429,0.104364326,0.178217822,0.160771704,0.148148148,0.244057052,0.066666667,0.179159049,0.142217245,0.172727273,0.118518519,0.137254902,0.133802817,0.303030303,4.4
28,10001 to 10500,0,6,12,13,3,3,15,0,3,3,17,No,9,Married,1,Sales Executive,3,2,Male,4,Medical,3,10,Sales,Travel_Rarely,35,Yes,737,1,1639,55,10306,21530,Y,80,1,0.128205128,0.149568552,0.206278027,0.127906977,0.173076923,0.135775862,0.134529148,0.170068027,0.189333333,0.146788991,0.174846626,0.228373702,0.124814264,0.230769231,0.104364326,0.170731707,0.160771704,0.154684096,0.244057052,0.125,0.140529532,0.142217245,0.083333333,0.1,0.1875,0.323193916,0.303030303,4.6
29,10001 to 10500,1,11,10,11,3,6,14,1,4,4,20,No,4,Married,4,Healthcare Representative,3,3,Male,1,Technical Degree,4,20,Research & Development,Travel_Rarely,40,No,1492,1,1092,61,10322,26542,Y,80,0,0.087719298,0.149568552,0.138397503,0.16,0.145728643,0.242424242,0.253521127,0.170068027,0.144009217,0.146788991,0.06870229,0.11328976,0.124814264,0.122302158,0.104364326,0.127272727,0.163716814,0.148148148,0.093959732,0.129032258,0.092307692,0.142217245,0.0625,0.068965517,0.083333333,0.144736842,0.303030303,3.7
30,10001 to 10500,9,13,8,20,1,3,24,1,3,3,14,Yes,2,Married,4,Healthcare Representative,3,3,Male,4,Life Sciences,3,2,Research & Development,Travel_Frequently,42,No,288,1,1547,40,10124,18611,Y,80,0,0.043478261,0.249097473,0.138397503,0.132701422,0.173076923,0.146864686,0.134529148,0.170068027,0.144009217,0.146788991,0.06870229,0.11328976,0.124814264,0.109589041,0.305288462,0.119402985,0.160771704,0.154684096,0.093959732,0.166666667,0.140529532,0.3125,0.037037037,0.078651685,0.2,0.09375,0.303030303,4.1
31,10001 to 10500,8,9,8,14,2,2,14,0,3,3,11,No,1,Married,4,Sales Executive,3,1,Male,4,Medical,4,4,Sales,Travel_Rarely,32,Yes,1045,1,291,32,10400,25812,Y,80,1,0.180327869,0.149568552,0.206278027,0.140625,0.145728643,0.135775862,0.134529148,0.170068027,0.337349398,0.146788991,0.174846626,0.11328976,0.124814264,0.188099808,0.104364326,0.195238095,0.160771704,0.154684096,0.244057052,0.129032258,0.179159049,0.168604651,0.111111111,0.078651685,0.235294118,0.093457944,0.303030303,4.5
32,10001 to 10500,4,6,7,7,4,2,15,1,2,3,18,No,2,Divorced,2,Manufacturing Director,3,2,Male,3,Life Sciences,3,2,Research & Development,Travel_Rarely,35,No,819,1,1182,44,10274,19588,Y,80,0,0.128205128,0.149568552,0.138397503,0.132701422,0.173076923,0.146864686,0.136865342,0.170068027,0.189333333,0.146788991,0.068965517,0.164285714,0.100917431,0.109589041,0.104364326,0.146067416,0.160771704,0.148514851,0.093959732,0.125,0.179159049,0.176470588,0.122222222,0.13963964,0.1875,0.112244898,0.303030303,4
33,10001 to 10500,9,5,9,10,2,0,31,0,4,3,14,Yes,7,Married,1,Manufacturing Director,3,2,Female,3,Medical,4,7,Research & Development,Travel_Rarely,58,Yes,601,1,1360,53,10008,12023,Y,80,1,0.357142857,0.149568552,0.138397503,0.130952381,0.145728643,0.135775862,0.136865342,0.147959184,0.189333333,0.146788991,0.068965517,0.228373702,0.124814264,0.22972973,0.305288462,0.119402985,0.160771704,0.148148148,0.244057052,0.111111111,0.277777778,0.168604651,0.15,0.089552239,0.044444444,0.09375,0.303030303,4.5
34,10001 to 10500,6,15,10,40,2,3,40,1,4,3,12,No,1,Married,4,Healthcare Representative,3,3,Female,4,Medical,4,23,Research & Development,Travel_Rarely,58,Yes,147,1,165,94,10312,3465,Y,80,1,0.357142857,0.149568552,0.138397503,0.185185185,0.145728643,0.135775862,0.134529148,0.147959184,0.144009217,0.146788991,0.06870229,0.11328976,0.124814264,0.188099808,0.104364326,0.166666667,0.160771704,0.148148148,0.093959732,1,0.140529532,0.168604651,1,0.068965517,0.230769231,0.137931034,0.303030303,5.9
35,10001 to 10500,7,15,13,24,3,2,24,3,3,4,25,No,1,Divorced,1,Sales Executive,3,3,Female,2,Marketing,2,1,Sales,Travel_Rarely,46,No,526,1,244,92,10453,2137,Y,80,0,0.121212121,0.149568552,0.206278027,0.125,0.156028369,0.220125786,0.149825784,0.147959184,0.144009217,0.146788991,0.174846626,0.228373702,0.100917431,0.188099808,0.104364326,0.055555556,0.163716814,0.154684096,0.176470588,0.166666667,0.179159049,0.142217245,0.166666667,0.071428571,0.230769231,0.143518519,0.303030303,4.3
36,10001 to 10500,17,5,6,22,3,4,24,1,4,3,14,No,3,Married,4,Healthcare Representative,3,2,Female,1,Medical,4,7,Research & Development,Travel_Rarely,44,No,477,1,36,42,10248,2094,Y,80,0,0.181818182,0.149568552,0.138397503,0.130952381,0.145728643,0.135775862,0.253521127,0.147959184,0.189333333,0.146788991,0.06870229,0.11328976,0.124814264,0.100628931,0.104364326,0.119402985,0.160771704,0.148148148,0.093959732,0.166666667,0.211382114,0.142217245,0.066666667,0.054054054,0.044444444,0,0.303030303,3.6
37,10001 to 10500,12,14,15,18,3,2,18,2,4,3,13,No,1,Married,3,Manufacturing Director,3,2,Female,1,Life Sciences,3,15,Research & Development,Travel_Rarely,40,No,884,1,1628,80,10435,25800,Y,80,0,0.087719298,0.149568552,0.138397503,0.192307692,0.173076923,0.146864686,0.253521127,0.147959184,0.189333333,0.146788991,0.068965517,0.165158371,0.124814264,0.188099808,0.104364326,0.162679426,0.160771704,0.148148148,0.075949367,0.148148148,0.179159049,0.142217245,0.076923077,0.25,0.111111111,0,0.303030303,4
38,10001 to 10500,5,13,14,22,4,3,23,1,4,3,13,Yes,0,Divorced,3,Sales Executive,3,3,Female,3,Marketing,1,4,Sales,Travel_Rarely,41,No,796,1,1815,81,10447,26458,Y,80,0,0.15,0.149568552,0.206278027,0.140625,0.182352941,0.220125786,0.136865342,0.147959184,0.144009217,0.146788991,0.174846626,0.165158371,0.100917431,0.116751269,0.305288462,0.162679426,0.160771704,0.148148148,0.093959732,0.090909091,0.140529532,0.176470588,0.066666667,0.090909091,0.2,0.129032258,0.303030303,4.3
39,10001 to 10500,3,0,6,10,2,5,13,1,2,3,12,Yes,4,Divorced,4,Sales Executive,3,3,Male,3,Life Sciences,3,2,Sales,Travel_Rarely,46,No,1277,1,1732,74,10368,5596,Y,80,0,0.121212121,0.149568552,0.206278027,0.132701422,0.173076923,0.146864686,0.136865342,0.170068027,0.144009217,0.146788991,0.174846626,0.11328976,0.100917431,0.122302158,0.305288462,0.166666667,0.160771704,0.148514851,0.093959732,0.083333333,0.117647059,0.168604651,0.15,0.054054054,0.189328744,0.133802817,0.303030303,4.1
40,10001 to 10500,10,14,11,22,3,4,28,1,3,3,12,Yes,8,Divorced,2,Manufacturing Director,3,2,Female,3,Life Sciences,3,4,Research & Development,Travel_Rarely,47,No,1001,1,1827,92,10333,19271,Y,80,0,0.125,0.149568552,0.138397503,0.140625,0.173076923,0.146864686,0.136865342,0.147959184,0.189333333,0.146788991,0.068965517,0.164285714,0.100917431,0.12244898,0.305288462,0.166666667,0.160771704,0.154684096,0.093959732,0.071428571,0.211382114,0.142217245,0.066666667,0,0.111111111,0.111111111,0.303030303,3.8
41,10001 to 10500,2,2,2,2,2,2,16,0,2,3,18,Yes,5,Single,3,Manufacturing Director,3,3,Male,2,Medical,1,2,Research & Development,Travel_Frequently,44,No,1193,1,1496,86,10209,19719,Y,80,0,0.181818182,0.249097473,0.138397503,0.132701422,0.182352941,0.135775862,0.149825784,0.170068027,0.144009217,0.146788991,0.068965517,0.165158371,0.255319149,0.253968254,0.305288462,0.146067416,0.160771704,0.148514851,0.244057052,0.081081081,0.179159049,0.168604651,0.212598425,0.182795699,0.169811321,0.145348837,0.303030303,4.8
42,10001 to 10500,7,3,7,16,3,6,16,1,1,3,11,Yes,1,Married,4,Sales Executive,3,2,Male,3,Life Sciences,1,3,Sales,Travel_Rarely,36,Yes,530,1,967,51,10325,5518,Y,80,1,0.086956522,0.149568552,0.206278027,0.166666667,0.182352941,0.146864686,0.136865342,0.170068027,0.189333333,0.146788991,0.174846626,0.11328976,0.124814264,0.188099808,0.305288462,0.195238095,0.160771704,0.206521739,0.093959732,0.081081081,0.092307692,0.142217245,0.083333333,0.13963964,0.173076923,0.143518519,0.303030303,4.3
43,10001 to 10500,12,4,2,13,2,6,16,1,2,3,11,Yes,4,Married,4,Sales Executive,3,2,Female,3,Marketing,2,8,Sales,Non-Travel,35,No,1212,1,1243,78,10377,13755,Y,80,0,0.128205128,0.08,0.206278027,0.125,0.156028369,0.220125786,0.136865342,0.147959184,0.189333333,0.146788991,0.174846626,0.11328976,0.124814264,0.122302158,0.305288462,0.195238095,0.160771704,0.148514851,0.093959732,0.081081081,0.092307692,0.168604651,0.083333333,0.182795699,0.081967213,0,0.303030303,4
44,10001 to 10500,7,5,10,14,3,3,14,2,3,3,19,No,1,Married,4,Sales Executive,3,3,Female,3,Marketing,4,1,Sales,Travel_Rarely,32,No,801,1,2016,48,10422,24032,Y,80,0,0.180327869,0.149568552,0.206278027,0.125,0.145728643,0.220125786,0.136865342,0.147959184,0.144009217,0.146788991,0.174846626,0.11328976,0.124814264,0.188099808,0.104364326,0.118421053,0.160771704,0.154684096,0.075949367,0.129032258,0.140529532,0.142217245,0.111111111,0.068965517,0.044444444,0.143518519,0.303030303,3.9
45,10001 to 10500,7,0,7,8,3,3,29,2,2,3,14,No,3,Divorced,2,Healthcare Representative,3,3,Male,3,Life Sciences,4,7,Research & Development,Travel_Rarely,49,No,1490,1,1484,35,10466,20948,Y,80,0,0.083333333,0.149568552,0.138397503,0.130952381,0.145728643,0.146864686,0.136865342,0.170068027,0.144009217,0.146788991,0.06870229,0.164285714,0.100917431,0.100628931,0.104364326,0.119402985,0.160771704,0.148514851,0.075949367,0,0.140529532,0.142217245,0.1125,0.13963964,0.189328744,0.143518519,0.303030303,3.6
46,10001 to 10500,6,1,5,8,4,3,17,0,2,4,21,No,3,Single,3,Manufacturing Director,3,3,Male,3,Other,3,7,Research & Development,Travel_Rarely,35,No,950,1,845,59,10221,18869,Y,80,0,0.128205128,0.149568552,0.138397503,0.130952381,0.173076923,0.134146341,0.136865342,0.170068027,0.144009217,0.146788991,0.068965517,0.165158371,0.255319149,0.100628931,0.104364326,0.104166667,0.163716814,0.148514851,0.244057052,0.090909091,0.140529532,0.176470588,0.1125,0.027777778,0.137254902,0.137931034,0.303030303,3.9
